msno,city,bd,gender,registered_via,registration_init_time
YHia9fV416YNmcZR2+N/JgyX2yOnI1+Qcw/9/kieb9g=,4,24,female,9,20130605
M1nuKlYuH3DFVOBhTtEXqT5mYlMOvtAxeh9mb4DxKw4=,4,19,female,3,20140216
bdZaBtqL1JvmSIQpYsVTSZjK51dSUGYYNnCRankmEEE=,1,0,,7,20140221
24YN7gEV7BxdVQMaQMxTS0kz6pucc6Hk/4wd55m+Bm0=,1,0,,3,20130215
T+D5xhJc+VPzB4w4YidE6krgOwfei8yar6f2mxYlGrg=,1,0,,3,20140127
bggxg9OmarJI9EPqMYZNpJ8kVFI1zJj1qalymeYEXBY=,1,0,,7,20160107
pzINjEgGZcolimRurShmN2slbMhN1rY2lWMtRRHPPyE=,1,0,,7,20161112
AWTlrOIkOmGeAV7cQ4R87sg9hmR01V3pHbJQkcFaCHQ=,1,0,,9,20150904
91nuPN2YIyXOOQ/d7EHCf2wbe38rY4dmw1xWh1u7TBY=,4,25,female,7,20150917
bgmrMIFbAJOCA5h+bbYF4akMxm8P6q70I3lwGgJicgo=,1,0,,7,20161206
B2rqXdqCA8zaxqfbS7urQ7AXhGcisRZbEMNCOxUAOcw=,5,25,male,9,20161210
ItaybvzMqKH486mIM0Qb374RZYnqmpkUON58KNrsLwE=,1,0,,7,20161223
dtBKTSiafHm5KXa4pJmLDicxq02caZ4rlofKDXl2lqg=,6,30,female,3,20150625
yz2YcGDNuEgcYejLSE4aEU9cJjCmwHYtp8oUuH/LpUo=,4,34,female,9,20090710
esL5I88UDtyWOZ271juRJqgeVZout9m6rbC/fM3Ixc0=,1,0,,7,20161023
AGe2au1IQ4nLYOeOuIYx5bKIwGiqmqcrvLOcob9iQK0=,1,0,,7,20120920
5I9+W666bXYzIDt/D1I7wbRnABd5Uv93uxm4DTbI3jM=,1,0,,7,20151113
MB6EwzwlxzdIVwvHAR+3P2j1yi1ymGbqh6kAwySFLns=,5,0,,3,20130226
cIYzvL4ZoBi7n29lHLmdswGTMf+Lc4eWKwiKkfZNiUY=,18,0,female,9,20051022
z6/BwpbDkXZTyYM2jshT3SQrr+nPasVr5DqyLRRrrWs=,13,0,female,9,20130721
fLrL+Rw6vYdezto9k50eyqnaATZQpLwQ8vjGafBL9uo=,13,20,male,3,20130722
qMSrcKzD4/89kFzERi+p0fbdPPydo84rw+HJTowRIxU=,1,0,,7,20130713
JD44GWi716vfX25A/SI4dv85C//717JFaI9bOlZygKY=,4,23,male,4,20161108
qT7FaiUDhxw8zIukbkjjhdMo/JM8N5SMqkbPCofLSaA=,1,0,,4,20161116
jwQh7nbwpggSvEnZ17UxtxG5s+RRTSlumbZXsAqJXYM=,5,29,male,3,20120505
LdfAfrpYti2U8EftgYFNT7fwaxtH8fcP12gpRWWji+Y=,4,36,female,9,20120519
vn+RvI50/dg7TLfdGdyz1gEwnt3Qea8idCnRgsv+e/w=,4,21,male,3,20160906
sw3fiUMaAc8r7zaSt0YkUhIJ5J6gjp4KVt3wCu/t+QY=,4,46,male,7,20160111
7EV/jka54JUwN+X3AB4XwkwXODJNRctuqwf9SgeMPcA=,1,20,male,4,20151017
JExR7sNu0134Bd08/XUDi78vpDCSxwJXspf9QH2KgFM=,1,0,,7,20110924
wUsKyBY+OuBXfYwCOvbzjmDmAVcnqKMSthFT/tl+Phs=,13,26,female,7,20110124
gVzcXV5M0czaPhxl05le+NCggnSKhR9vFK89Nkj6HuI=,11,0,female,9,20040424
b4iikyhKDAsjmlOfSJZfFOWyMdyePVHyNBcaHYT0fw8=,6,32,female,9,20051103
rqPisKOY6hN/XvuQwAqswCIWkLPWyBSotLDZXfyf9Wg=,4,21,female,7,20140513
xMgO7mfIkRdPvQVKnBIQ0jsObdbZZT5nkledDU7J3GA=,1,0,,7,20131008
SjhfzofYUnQJqJBuneAJp3jSDfvMM6brpa3NLxep3cQ=,3,23,female,9,20080104
lteDG+NcAke1VyqiTxUwICnzhVajxewynnyRXfRe4w8=,6,36,female,3,20120924
0FpQZvUK6TiKBJikZL7v2fIBzxNRi3ia0i737LGDkhc=,1,0,,7,20130107
kWbm052Dbsiky65+irYqUjMOHqZpy4Yv7rLAJq1t7jk=,13,20,female,3,20130112
GBy8qSz16X5iYWD+3CMxv/Hm6OPSrXBYtmbnlRtknW0=,6,23,female,9,20060331
SdGJNg3ZDlfceqFpWTTQ73NArE2zrMAltpOtgcMQsiU=,1,18,female,4,20170124
wD+7QZrTD3zJz5rIMPDbSMG97lqVmW0J0C0ByFRYv3Y=,13,33,female,3,20121226
LGHro0p7Q7VX0albTniTNmL+qi7vgOIFCVJASaLwUUs=,4,25,female,9,20160715
eJswEvGKsJqPKc+o6eAUB2GY9C2W5Jj+Zl70XUXf+no=,15,35,male,9,20051220
2XFjJm4Ni8cvwfeI5gUzeX1P1MS+cRAZO8OW05dg2+U=,11,16,male,3,20121006
sCqN9TxdfgGkeK625jv9Y/ekmyrDcP4Dyth8W4EVeGA=,14,33,male,9,20121108
VPbjxuDBEydBzevqQ6hpDwBltnhEnac/tGn8oQQtU6A=,1,0,,9,20170130
6DvNdnIxn8FIvhCqLAAM5w8sRyL/sJg9RL+FsHm2Uz8=,15,0,male,3,20141021
0s/dquNeaIakRZaaevSfLxGwk811qkGyN1cdAsylRCY=,3,26,female,9,20050716
UH91V60ROQpKCxSvkLf3Vs7AAR9aGyC/tUsd2M8RA0U=,4,0,,9,20170106
8F8+pgp6rjAWDdJqtebb8hsTTyy4rpTJOb1F2ANti+w=,1,0,,7,20150912
oW4Pntx0haGgrV0VEW/PrdKLih/BgHvivt0qy9qJwws=,18,22,female,3,20150930
Av/bYInCmchPLov5E/SaksYqdG+Ql7ma3ME9DaSy4B8=,15,30,female,3,20120313
r4pGQBrqkIZlVeOAOBkSN23Pfe75X0R6oXsLA0wB3/o=,22,20,male,3,20121115
56x63eSERNwqWI0+b1PfxVqzQFhvb0+efLFW2DTByv0=,4,19,male,3,20130106
gfPMddpL7h8ys+WSFYwOnA9v2lbdO8ve4F9yEdPuh60=,9,0,,3,20130110
iR89aZukEGDNasLdZPV95oQTez8Al3zfy37V6MfsIvI=,14,21,male,3,20130111
20qpscqQ//KrM55wQcrkQUu+OFMrTbdnU/2HwQTW9Tc=,1,0,,7,20160721
pSTuOZfsry0JrJHIAKJIzjT44QzYwDEDVzb29p2+/zE=,6,24,male,7,20110216
QL7GIEEn48dPKi0LFDRQkDmXAyJf2h2FljuJ9k69/YA=,5,18,male,3,20150530
1XN6tD/1ubMxyHHu8gqJ6vTj9Lf0HM80YHAjqKdERfY=,13,34,male,3,20131124
tccrbPBFfhpMayGyAjvqFagkvPBQKgQg5ptiubSJLMg=,1,36,female,3,20150526
fk9RMt8jjy979QF3ke7Z1YZy/zS49ZjHTKEnFum7Bqs=,1,0,,7,20131023
W1piznfsYpSLSEV3DnWaoZNntleb8tWYyIoqalpZl6U=,1,0,,9,20120126
U/wadX/Lla/gJREQgJKkOOZFprimBHyBSb2tV072qyo=,5,39,female,9,20130902
Ad9xf2W6ID3zguduv1lKdla80V/iT2cFWbDxIcEMQOs=,1,0,,4,20170108
rLtyRCvbqRG3prPuAx+ul/NOMb2PuAkUOm+NBF96Vtc=,1,0,,7,20160201
q+eLwX/Xmz/8vf7OHVYGxqLy/9GWxeu7M/6y8/hFsAo=,1,0,,4,20151109
e5KvOUyIVWcSR4hCBfsJZ0s/df3MWA4qA/20vNzf2Pc=,13,25,female,4,20151110
P8ZVJDOFH4W6vRll+r6s3m6njDR+eWfaJGvrluDu430=,4,28,male,9,20070308
Z3Fr1t2e6R89immER+vOgdwxJW+KFgJ3b9Dn1w64/Tw=,15,25,male,9,20161114
fY1iacdnG+wNAi8IuWli0IlSfx5FPjbWpsPW9XfKJP4=,4,24,male,3,20140504
Nfp+DSoRm0h1FPqsr3a+BDRD6iAaD9vktmhkzLAH1zI=,1,0,,3,20140617
ikRH/cD4Enpp9q8fw38Uc8J0ql8JaNK95K2ZFXt6J5w=,1,0,,7,20151111
jZhRZr+ccFPiWZTEPINRtiU2zNI1H4kgWVg2EoNx3YQ=,22,47,male,9,20151120
shXJmHdZ9LvnQB6ltF+5J05HJ+7vidNDt83BPkRVa08=,13,19,male,9,20070925
vJz05FCWzG1imWsc/dsc/X7cixLvJPRUfXyFk/EVawo=,1,0,,7,20161203
I2lWKH3jTiT48f2HBNNOXXJwB0WgkJL3E/huJu1HEuk=,13,27,female,9,20070617
JhHh0tamWu9MNAVTOFP5lzfaXKwJ4kgybFikgWv3pgc=,1,0,,7,20120413
3ycMCEQ+NSKiKfxWExLI2JZkWQA0O5DXrcjDs00jx0Q=,1,0,,7,20160806
R0fnTnzwOM9COczGENbKz19iZYxKRSsB0wYbkc7jSI0=,4,23,male,9,20100830
hPg0fj3N26sUN1do8Ap7o7ATbsaWymWEOhENA3tIXac=,6,25,male,3,20150122
aFBmi6TZarOkWE3ZoR/8OfjdxibINTqnPJQNig7Sx3s=,5,18,male,3,20140907
f3aTDaFTEHYqyXBtpO2xsKYeIF/PZHjkqme6bpje1io=,5,0,female,3,20150101
wNk2lLEfZZ9OX0ISyp9JB0IyjvsMzYDSPOv2nLbvDVg=,1,0,,7,20150912
A0nXwI/hh52P9Fdo0O5KYzpDKc+eD88TeziNegkHnAQ=,1,0,,7,20150918
otCfLbnd+iIu7sPppSyPzH5aBCJH8y00wN9ZkGZt39Q=,1,0,,3,20140718
Z7RC3ynp2H4DzEPAXBCJXHxmzhcP7JDYpp20/IoV4PA=,15,25,female,9,20080201
U4u5XhjVPKvkc5emj3OOuGgpgDRzFnxSU7pzxwhL/dM=,1,0,,7,20140517
IwV1nG92H5uhAlq2jXYbPICB269k25YsskzGhE9qn1o=,5,0,,9,20161129
8tHGdmeCbbKePmpM7RZ/R1pklvBUWJQg3/5ZZ0Pmos0=,1,17,,9,20161216
wIv0VdHJDld5iBUgDb6OE9cRyzuOSPev4RX6zeWRm4k=,13,0,,4,20160104
WMGOGUKtM7tUFYSyzwwcNKs8qKedCSd1zci48fqzOus=,5,24,male,9,20140524
W04PdXu5EASN2QGIw/Fchm27Kxy3FXzgYddG+WQ7qMI=,1,0,,7,20151021
XcXH6pSytC5+xYlr0bqrN7RUq7qRikcH9Yy0ifA02UM=,15,36,female,9,20070811
xMNdBYirqmK+xHCFxkiGxDA1IZF86fjSSX+2yRp+BPQ=,4,0,,7,20150902
yTJ37byM8Yj2as06hhwnML3+gY//oJAsq6q4Te77KWw=,5,24,female,3,20140426
hzI+5/63/9y2WFYtkKRGKqKzULakRhh1pcIgjDfpZ8Y=,22,21,male,9,20090615
8pXeMT0YrOmJ6Rhjjx6qU3/+OtVIrrgSWkSfCzxdyVY=,1,0,,9,20161219
medWkqFYNFwjZsJ6EiqIm2kwUDBz+jGdMS5NQE1dDlA=,1,0,,7,20151118
RGlZTGsAPGuBU6QKzbgnj5OEvTyTiyAw1qF4/0oxoxI=,22,47,female,9,20061128
eSV12d+yI+qR9ITMPpbtwqKS6+XU4fxGM891+b1Tc7Q=,1,0,,7,20160223
e4gk4eTjHbcGizKcj/ME8nE3V3xeOfm8HEB7SujRSNc=,1,0,,7,20110219
vpDYy/393PXp7+8CVWxyMK4MlJmWSmQFyt0vnY4kRLk=,13,29,male,9,20040831
t97B0tR+FMP9+GmL0yJNk+Yhy/1sAcdWmn4aYyTM3HM=,1,0,,7,20151126
LyRAnuvhlc7WGgGYU6AedJv9ZbxyG0F9bOJQPyePzMw=,1,0,,7,20130506
DpTjbYVHd2GcMXa8oH2PAPeHmddcbZtd9GsPw1nyF+8=,1,0,,7,20161201
pSEHVB236ZUGK9NaQoa6HZOceviSJAI3Usteu7w7yFs=,15,35,female,9,20110702
BnnYMK4mdhF+iR5NWHudfD2hg/tsDfENc/bYafB/4OA=,5,41,female,9,20110714
9sWvtEdSz8uSXLwXAtNLCnvJt862B1VKD0DRQiKN744=,1,0,,4,20151203
2CouDuAUqSXUNAbvlz+ZdJDwAlMD6Ct8IH0t7zxLtyg=,1,0,,7,20130807
Vrfwd21sZCE73XSmMo3tmhVBX5SvqgYX7mJvFLY+qvo=,1,26,male,3,20140918
QdRnND1qHMiV92vvJV+EFTCFdr3M0zD+k3rMDyfU+Go=,1,0,,7,20151109
Qf4MAa1naDBnNwU87mFhZ8EM3HVRnKXu5gtMvPAJhuE=,1,0,,7,20151114
sqQQBBkzrkYYKlVHoN21f/nFdxkgA28K7lmTpIPbeDU=,6,30,male,3,20121201
6ziQ1W0MEIF7b/gI++rypS4ARFrgFfzlPHqXG0L8Z+M=,11,29,female,3,20121213
OYYPeFXVD65z26iqkJAOBmgEpoF0IjMtN6ETgkqRjm4=,5,53,female,9,20101116
7ovbOvMWtqMAKnRTwFx4bKSUcmkBc/kkFd+8JsSLhKs=,1,0,,4,20170119
vyG38S09JIpioEiWCyph1Bb+kO9+sxQpTsJp8eU8h7I=,5,19,male,9,20101026
nH6po2vBwgquYnB9309nRYVgoLbUXwOrwAr3tigLpi4=,1,0,,7,20160815
momGe2YZS8HxgTTDUDRKuWQiRl1pfWuPHSf+mJPokkw=,1,0,,7,20160112
JheJrHtJL7z17xJOk2nKa3Qy/Eb8OYdvnw26/m54F+A=,1,0,,7,20161030
qTbKJTczTjpX14xwbTTrMO5CB8XwGJ5eXMFpykn/x84=,6,30,male,9,20081122
a8wWoGK8UJSJ8VBfUq65HMVoU/DjpqjtS5B3Y46F1RQ=,1,0,,7,20140207
gDyl9rTNqaSu9/IE+gHFiBIRlPbPOcg6+YR1PBuwKik=,5,36,male,9,20080404
700TnHQoNgBr1+vHe23MGUWn6h66YSHKS0k0rnE7K7g=,13,23,male,9,20120920
KZEDueSOpeSOU+k8yYRJmRM7gOhbtCA+KtFQJPmfg2E=,22,24,female,3,20121206
GKuXhlF0h0zfixCujFI8mowXAd1CWYs5dgq4yG9Wexs=,15,22,female,3,20130105
G7T/D4cd6bjyA26qjIyLWF4KxYqKU4mNVoSOZ8DJ9/4=,4,24,male,3,20151024
DsxvO0PfAvop6bUHAr0LDHk2lVX5GZnGJ/w9uramjEQ=,22,20,male,3,20120715
1N6tLrMeivrqRUALnVcxaN+GDT6CHxAEKHdtHw+z8Vw=,4,25,female,9,20090206
3rlAaL9Cf69Pq+Rcvdckx4D0SDTFILEeRLfxfdYxY1U=,13,23,male,9,20130312
DbdBssKlWdrMtodiT2btzebWldbi9iIS8JRtvH2m+Rs=,4,29,female,3,20141029
icDkASovl3WHYbpzklRA59R+zAStGhVoo16NklN4EBM=,22,46,female,4,20170122
TgR38OaGRXAjSXHzN3k2I0cnIpj+QiPT0nKhER5Ah20=,13,32,female,3,20130612
WKWQOB3IUoyBcaVYf28H3jTUjtRsuFKYJyQMPwo/xoQ=,1,0,,7,20140625
Gqo5HXDgq7uNq2Rcej7926SU4XTHHuk1u1C9tyPNgPI=,22,28,female,9,20070905
K/gpHe9SCsSBr11Yc9Z6lQrxevXut0IdJt07VlZpscg=,5,40,male,9,20071005
Io0Pjqtb1+pZbrvhG2j7NIcwve/qe+gdVCdtDJowPQ4=,11,30,female,9,20060317
e+KO6q549poN5/zZghaew6og/YDAFYB/z9S7KkdrqT4=,18,20,male,3,20150417
GNjIfUne3h0Fsor8PUPJwgUJ9JlFe1ebiiCgMTL0klk=,1,29,female,9,20160714
DlKZga7tdeuzsVFPaVymVbdebNtJmhGn4eL+FvOLLqk=,1,0,,7,20130115
LOlFtj5FFTqUcTVOrfROBq+V7W7hVNHmtmSX90wm9SE=,14,26,male,9,20091117
2WT4ahXP0iJ5hPYEQrO+cGSb/I/X+sA+6uv2OlrjDRA=,1,0,,7,20160723
7Sv/erzP2fIQ8ve139G418Y/9ZFu+BSJOOjW+gn7yUE=,1,0,,7,20160726
u/YmXiuCRyLrhXbbOTjrvM23ycuqXSdILXe9+f+1SN8=,1,0,,7,20160811
XKMzyv/HLMMTsPLkMCy26b0RWzAjOkUJvfgpYEZ3OqA=,13,0,,9,20160710
T61ImDLmkF/b0rQqsVX2s/crJp3yaiioz9zgSCDnarM=,5,23,female,9,20141002
mO3xEKr/LGyfALG3QIu0rjc9pljHyBELecT7iD5PsLg=,1,0,,7,20111220
IF3Ju8Eolc+f5wNo2NV7KTThzeZvLxOZuLA3ouEBoIQ=,22,20,male,3,20150801
fcqyJvnA6IlBCY/IOOPNwr+x26m6K/49dfuqDZvUdnM=,6,30,male,9,20080529
yPst/g3QjR9SnJAd9neezOvLsCkSy77uS9SzYbdmiH0=,8,20,female,9,20090415
vDd5bLlKL2WgLdtIBrW1EHwsizADI8sbl3chFEXXbIU=,4,33,male,4,20151025
gmcUMVcZOlM2rTFDHSZgyQ+coxTVFJn7PrgqN509U24=,1,0,,7,20151025
zogkkDttsFrgr0zIh7jUYeXbH5HfocBRrO6IvDhmI4k=,5,31,female,4,20151214
I2FcdCcMxLNjb+wYGxuyGBOYwdW6pHB84BUYSI0pTaM=,15,19,female,3,20120806
aaNGWpxhFsF25BZUBCDUFmSJoVBcwkMa/2j/HWNQSa4=,13,29,male,9,20040915
DCbmYNcDVFWu1dIa+/LHgc0/7Z7S+93DyeBa7e16xLM=,1,0,,4,20160123
t9QwoNa+mU4Gk0xQ6p/RjGGYouGseTU4O3oPIEDage0=,1,28,female,4,20161112
PhCj5vdhvTXTf9ULiMphqgF8mLIWK1T9dZQDfMZ6/N8=,3,25,male,3,20161222
leF6d+2o9JNbVREkDOagReWpSVuGH6nTpEuW9EgjjsQ=,13,33,male,7,20140517
iTbSviVJBOrJ/MzMqTGESRfmIw4FQ0ggFGoopLdE0jk=,21,20,male,9,20150805
HqKBqSzGYUPiBcEWHYXmmr4lJdz77xrV+CeKOdmHK8Y=,13,19,male,4,20161204
Isj9nV29skqmwPYmqZ0HxB4b81YnHrCIQdN2Fz1D5dk=,1,0,,9,20160201
VSq3J0qKp4kovAAQ/oKY9+Mlk3FSS+xxG9K75cQtCA4=,1,0,,7,20160204
Z11dZG1fZLRz7DSiKU5NHcPpasfuC1xoWveO9zCX7jg=,13,29,female,9,20110704
mAxEFrzAW3+1m02z9Al2/jbD6iY8JdYNSJt9uprxEB4=,1,0,,7,20140607
0vmAFKjN115zOq7L9a1lF+uL37jgZ6uYujJCOy0gXGk=,5,38,male,3,20121211
3wn9F4hseysiOlvCbP5WODprEo89dymkzgL216ZuiC4=,1,0,,7,20160323
+vJKBeycMx3HFQbXCqMmhCdnvyRh+OnAq+NzeePJ4WY=,1,0,,7,20160326
D2hqx2Brlzm/dp6KeWhSjztYtOfj3K/GgjHY98DIw6o=,10,27,male,9,20061230
4xz91bGpYplIAe/d3fctWqCFcjk3j1MJXr5qISsUeUI=,1,0,,9,20170122
WPkotYIe2NaBv8RVsDrouxsgpSiSzNDqGOFDrEYrEpM=,1,0,,7,20160212
P3KYc8dFUnppWGPu69yODIPCXYp9X0TFUTLHqrD6ZdU=,22,28,female,7,20101110
AB+kWua63f6w7dhk8YCgKrJCmMv48iTelypGzhSrpfQ=,1,0,,9,20160801
9CRMfXG5jtE+RRhAy5TL3lJPqaDRiS1kNp4glvxQQKg=,1,0,,9,20160806
1h72H7r3f6f6U/yUe1vn78WpdtQ5SHzLpsB7aRCfwFU=,1,0,,7,20160812
8L6QBU/D1rvNuhJe1UYg+XYoy4V6ek9yjUTSlEbiEkI=,1,0,male,7,20151220
XxgdtkiOhhw+npUN4vADtU5oq2oS3Vx6SLXSOrT2kPs=,1,0,,7,20160316
fA43KkKRXKQ/hAyjy+/BPKj1QEUyZjFQZWzJEjYAtnY=,15,29,male,3,20120604
a8NSUTinyS0jsaT2h0eUoTnPIKqPg5qvRqOUIbJnQak=,13,37,male,9,20091101
iX4BDbd5oTGwn7j4qdJBhwNT/fj/sn0R64EO55GL2eE=,1,0,,7,20160131
Zk5Y3sAjI36C2ITPZv83W/8kGRbcdEqHrOWIqYufgkc=,15,34,male,9,20140510
s8TzI92Bj2U8D/ZPzGJSlymyD36WUyTe5yroChTK8RM=,4,23,male,4,20160430
gtPyb3EBxGIfDX+uDNcK/Fm1YmdM06smsHIYmRUB2W8=,1,0,,7,20151011
Wv3QXamROYunIgR3BvBg5AP8bK/YB0MEC4GNx0IQI1w=,1,0,,7,20151013
FRKiEH4ejnTKsu01LU7JbE4gsiGcNFTWgvAHlrWU71Q=,1,0,,7,20151019
G4LUpu8ZPe9b8x/rWvOgPJop9jyjnPRjJBAS3NGF+2E=,12,38,male,7,20161031
wkhR6O/eE0iOGeCutsD9Kv/h0MmH/WYocNibEVvMwqA=,22,31,female,7,20110618
LJApOXZVdwka7Uq/CXeEjiSgMtV+kjcjbGXWgS95iQs=,6,0,,7,20101022
zJPbE91Wc+0Dugi5bVr0INtPHjoXEGts/m8y/GjviAk=,1,0,,7,20151113
WjEtdGqwWq1CLi6KW71WG1uwJbRg4EIKIISNQ3dwtxs=,14,21,male,4,20160907
RyqpYd71QC2cyy6DqG/L2p5kwO9jlXdY/2+dqbCv7xU=,5,20,female,3,20160923
/3M+ZH/odfY0OBxqNIQAKcRMM3tlb/jhE0L9QYa46Og=,22,21,male,7,20130907
vVLsX8gEIatJ9XgCPQ6juAgiWIzvP/XukEPVtFG/G0w=,1,0,,9,20151028
oeNyjsuo6LO2AyayPGrZigCY8QS2xr07FAUWLEQYl0k=,15,0,,9,20121011
54oRgh3vQOfG42mwv3p6Ys7YOws0P/xd9YhepRUXD0M=,13,35,male,3,20121022
tkm3Fnoeb0LR6rNTqrTLyraUdONSDVb1R62S5YkiolE=,1,0,,7,20151128
